"State","Sector","Project","Type","Date of Sanction","Approved Cost (Rs. in Lakh)","Release as on Date (Rs. in Lakh)","Utilisation as on Date (Rs. in Lakh)","Last Release Amount (Rs. in Lakh)","Last Release Date","Target Date of Completion","Actual Date of Completion"
"Meghalaya","Water Supply","Nongpoh Urban Water Supply Scheme","NLCPR","26/03/2007","1746.72","1526.26","1526.16","376.05","29/09/2009","31/03/2010","13/01/2012"
"Meghalaya","Water Supply","Jowai Water Supply Project","NLCPR","21/03/2003","1541.00","1327.56","1224.47","97.96","21/08/2012","31/03/2005",""
"Meghalaya","Water Supply","Mawsynram Water Supply Scheme (Hills Division)","NLCPR","09/03/2010","388.38","279.64","139.74","139.82","13/09/2011","31/03/2013",""
"Meghalaya","Water Supply","Tura Phase-III Water Supply Project","NLCPR","21/03/2003","2158.00","1978.58","1978.58","396.30","13/11/2006","31/03/2006","01/03/2010"
"Meghalaya","Water Supply","Greater Umsning Water Supply Scheme (Umsning Division)","NLCPR","04/03/2010","1128.28","812.36","406.16","406.18","04/01/2012","28/02/2013",""
"Meghalaya","Water Supply","Umroi Water Supply Scheme (Umsning Division), Meghalaya","NLCPR","26/08/2010","920.36","662.64","331.32","331.32","20/12/2012","31/07/2013",""
"Meghalaya","Water Supply","Greater Selsella Water Supply Scheme (Tura North Division)","NLCPR","26/12/2012","1204.00","433.44","0.00","433.44","26/12/2012","31/12/2015",""
"Meghalaya","Water Supply","Mairang Water Supply Scheme","NLCPR","27/12/2005","769.27","672.18","672.19","210.65","19/12/2008","31/12/2008","13/01/2012"
"Meghalaya","Miscellaneous","Construction of Shopping Complex cum Auditorium near Lumshad, Lad Mawgap","NLCPR","20/02/2009","231.37","72.88","0.00","72.88","26/02/2009","28/02/2011",""
"Meghalaya","Miscellaneous","Construction of New Nongstoin Market Complex at Nongstoin in Meghalaya","NLCPR","02/03/2009","529.26","350.24","153.37","186.79","02/01/2012","31/03/2012",""
"Meghalaya","Miscellaneous","Construction of Airport at Baljek, Tura","NLCPR","13/11/2000","321.00","318.00","318.00","318.00","13/11/2000","30/11/2001","17/03/2011"
"Meghalaya","Miscellaneous","Updating facilities of Ginger Processing Plant at Byrnihat for commercial production","NLCPR","11/07/2007","51.21","51.21","51.21","51.21","19/09/2007","31/07/2008","18/03/2011"
"Meghalaya","Miscellaneous","Upgradation of Market at Mowphlong","NLCPR","21/03/2003","190.00","190.00","190.00","127.00","22/03/2005","31/03/2004","08/06/2007"
"Meghalaya","Miscellaneous","Construction and Development of the Iawmusiang Multi Purpose Market Complex, Jowai","NLCPR","03/07/2006","2009.63","633.03","0.00","633.03","10/02/2009","01/01/2008",""
"Mizoram","Agriculture & Allied","Establishment of 8 Units of Fish seed farms in Mizoram.","NLCPR","14/01/2000","528.00","528.00","528.00","128.00","04/08/2003","18/05/2005","23/06/2005"
"Mizoram","Agriculture & Allied","Mobilisation and development of feed & foder project, modafer","NLCPR","14/01/2000","725.00","436.00","436.00","200.00","05/08/2003","31/01/2005","18/05/2005"
"Mizoram","Agriculture & Allied","Integrated piggery development project","NLCPR","14/01/2000","657.00","657.00","657.00","357.00","04/08/2003","31/03/2003","04/03/2005"
"Mizoram","Agriculture & Allied","Bamboo processing industry.","NLCPR","20/12/2000","400.00","400.00","400.00","300.00","18/02/2003","29/05/2004","29/05/2004"
"Mizoram","Agriculture & Allied","Marketing facilities and marketing of Tung Seeds and Oil within Country & Abroad.","NLCPR","24/01/2000","50.00","50.00","50.00","50.00","24/01/2000","24/07/2004","24/07/2004"
"Mizoram","Education","Secondary Schools Improvement Project","NLCPR","07/03/2001","1248.00","1248.00","1248.00","624.00","21/10/2002","28/05/2004","28/05/2004"
"Mizoram","Education","Construction of School Buildings in Mara Autonomous District Council","NLCPR","19/12/2007","212.42","191.18","191.18","47.87","14/12/2010","31/12/2008","13/07/2011"
"Mizoram","Education","Construction of Examination Hall for MPSC, Mizoram","NLCPR","23/12/2010","288.32","102.31","0.00","102.31","27/12/2010","31/12/2012",""
"Mizoram","Education","Construction of Mizoram Law College at Aizawl","NLCPR","27/02/2009","289.58","90.48","90.48","90.48","03/03/2009","31/08/2010",""
"Mizoram","Education","Construction of Boys and Girls Hostel at Saitual and Thingsulthliah in Mizoram","NLCPR","04/07/2011","189.99","67.98","0.00","67.98","06/07/2011","30/06/2013",""
"Mizoram","Education","Construction of Secondary School Buildings in Mizoram","NLCPR","14/09/2006","968.53","830.28","830.28","236.00","15/12/2008","31/12/2007","27/03/2010"
"Mizoram","Education","Construction of Students Hostel for Lai Autonomous District Council at Aizawl","NLCPR","17/10/2012","596.72","214.82","0.00","214.82","17/10/2012","31/10/2014",""
"Mizoram","Education","Infrastructure Development of Mizoram University (additional)","NLCPR","20/02/2004","2326.00","2139.30","2138.89","764.10","16/10/2006","30/06/2007",""
"Mizoram","Education","Infrastricture Development of Lawngtlai College, Lawngtlai, Mizoram","NLCPR","04/05/2011","136.09","48.99","0.00","48.99","04/05/2011","30/04/2013",""
"Mizoram","Education","Construction of Schools within LADC","NLCPR","28/03/2008","236.86","211.06","211.06","63.70","06/01/2010","28/02/2010","25/05/2010"
"Mizoram","Education","Infrastructure Development of Govt. Champhai College at Champhai, Mizoram","NLCPR","17/03/2011","951.29","342.46","0.00","342.46","21/03/2011","31/03/2013",""
"Mizoram","Education","Sarva Shiksha Abhiyan (2006-07)","NLCPR","29/06/2006","688.34","688.34","342.79","345.55","28/02/2007","29/06/2007","24/04/2007"
"Mizoram","Education","Construction of Post-Matric Students Hostel at Aizawl in Mizoram","NLCPR","22/02/2010","190.10","127.25","60.00","67.25","29/06/2012","28/02/2013",""
"Mizoram","Education","Establishment of Sainik School at Chhingchhip, Serchhip District, Mizoram","NLCPR","29/02/2012","5064.23","1787.38","0.00","1787.38","29/02/2012","28/02/2015",""
"Mizoram","Education","Sarva Shiksha Abhiyan","NLCPR","28/03/2006","511.83","511.83","511.83","511.83","28/03/2006","31/03/2007","17/12/2007"
"Mizoram","Education","Construction of Higher Secondary School Building at Kawlkulh and Kawlbem in Mizoram","NLCPR","26/12/2012","195.88","70.50","0.00","70.50","27/12/2012","31/12/2014",""
"Mizoram","Education","Construction & Renovation of School Building.","NLCPR","27/07/2000","2143.00","2072.00","2072.00","1000.00","11/06/2001","31/07/2005","20/07/2005"
"Mizoram","Education","Mizoram University","NLCPR","18/08/2001","174.00","174.00","174.00","174.00","07/01/2000","31/08/2004","04/05/2005"
"Mizoram","Education","Construction of Multi Complex Building Auditorium at Pachhunga University College, Aizawl, Mizoram","NLCPR","23/12/2010","285.26","102.69","0.00","102.69","27/12/2010","31/10/2012",""
"Mizoram","Education","Infrastructure Development of various colleges (10 Nos.) in Mizoram","NLCPR","24/06/2011","1367.64","482.70","0.00","482.70","27/06/2011","30/06/2013",""
"Mizoram","Education","Infrastructure development of 4 college in Mizoram","NLCPR","18/09/2009","546.32","393.36","196.68","196.68","27/12/2012","28/02/2011",""
"Mizoram","Education","Infrastructure Development of Kamalanagar College in CADC","NLCPR","14/09/2012","224.00","80.64","0.00","80.64","17/09/2012","30/09/2015",""
"Mizoram","Health","State Referral Hospital, Aizawl.","NLCPR","15/02/1999","4053.00","4001.65","4001.65","462.65","31/01/2008","29/02/2004","31/12/2010"
"Mizoram","Health","Veterinary Polyclinic at Aizawl","NLCPR","02/03/2012","482.30","173.63","0.00","173.63","06/03/2012","28/02/2014",""
"Mizoram","Health","Construction of Out-Patient Department Block, Civil Hospital, Aizawl","NLCPR","21/03/2003","371.00","344.54","344.54","169.54","28/10/2005","31/03/2006","05/06/2007"
"Mizoram","Health","Six bedded ICU at Civil Hospital, Aizawl","NLCPR","21/03/2003","142.00","142.00","142.00","81.00","10/12/2003","25/06/2004","25/06/2004"
"Mizoram","Health","Construction of Medical Staff Quarters for CHC at Saitual and Thingsulthliah in Mizoram","NLCPR","03/05/2011","132.21","46.66","0.00","46.66","04/05/2011","31/10/2012",""
"Mizoram","Health","200 Bedded Hospital at Lunglai.","NLCPR","22/02/2002","762.00","717.76","717.76","45.76","27/03/2006","28/02/2005","31/01/2006"
"Mizoram","Power","Construction of 33KV D/C Serlui 'B' Kolasib switchyard at Serlui 'B' & incoming bay at 132 KV S/s at Kolasib (bawktlang)","NLCPR","10/05/2005","315.10","275.08","199.00","76.08","19/11/2010","31/03/2007","24/07/2009"
"Mizoram","Power","HFO bassed 20 MW DG thermal plant at Bhairabi","NLCPR","20/12/2001","9159.00","9158.00","9158.00","429.00","31/12/2004","30/06/2003","31/08/2006"
"Mizoram","Power","Construction of 132 kV S/C line on D/C towers from Kolasib to Aizawl (Melriat) with LILO of one circuit at Aizawl (Zuangtui) 132 kV Sub Station","NLCPR","22/12/2005","2151.10","1703.67","1355.20","348.47","21/03/2011","31/12/2008",""
"Mizoram","Power","Sub- transmision and Distribution Lines - Aizwal Town","NLCPR","17/11/2000","2583.00","2583.00","2583.00","783.00","30/01/2003","27/05/2004","27/05/2004"
"Mizoram","Power","Power Evacuation from Thermal Power Plant, Bairabi","NLCPR","27/02/2003","456.00","456.00","456.00","100.00","30/06/2004","30/09/2004","01/12/2007"
"Mizoram","Power","Construction of 132 kV single circuit Line from Khawzawl to Champai","NLCPR","01/12/2006","590.00","530.60","318.46","74.60","23/08/2011","30/11/2009",""
"Mizoram","Power","Construction of 110 km 132 KV S/C Aizawl (Melriat S/S) – Lunglei line including one out-going bay at Melriat and one incoming bay at Lunglei","NLCPR","11/09/2012","4176.07","1503.38","0.00","1503.38","12/09/2012","30/09/2015",""
"Mizoram","Power","Electrification of 3 Tribal villages.","NLCPR","28/01/2002","68.00","68.00","68.00","34.00","12/08/2003","31/03/2004","27/05/2004"
"Mizoram","Power","Sub- transmision and Distribution Lines - Lunglei Town","NLCPR","21/10/2002","830.00","830.00","830.00","630.00","03/09/2003","14/05/2004","27/05/2004"
"Mizoram","Power","Construction of 33 Kv D/C transmission line (Tower type) Lawngtalai to Saiha","NLCPR","22/06/2007","743.69","669.32","497.58","171.74","20/06/2011","30/06/2009",""
"Mizoram","Road & Bridges","Construction of Link Roads to Bamboo Plantation - Plot No. A from W.Serzawl Saiphal/Saitlaw 18 kms","NLCPR","29/09/2003","582.00","582.00","550.00","182.00","17/03/2005","30/09/2006","31/03/2009"
"Mizoram","Road & Bridges","Construction of Bamboo Plantation Link road from tuiral airfield to Bukpui Phase - II (40 - 84)","NLCPR","01/12/2006","2512.50","791.44","791.44","791.44","21/12/2006","31/12/2008",""
"Mizoram","Road & Bridges","Construction of Approach Road to Tuival from Mimbung and approach road to Godown at Kawlkulh, Mizoram","NLCPR","24/06/2011","367.09","129.56","129.56","129.56","27/06/2011","31/12/2012",""
"Mizoram","Road & Bridges","Construction of Road from Chuhvel to Sihthiang in Mizoram","NLCPR","23/02/2011","223.53","157.78","78.89","78.89","30/10/2012","28/02/2013",""
"Mizoram","Road & Bridges","Construction of Jeepable Suspension Bridge over R. Chhimtuipui at Darzokai on Hnahthial to Sangau Road","NLCPR","02/03/2012","216.21","76.31","0.00","76.31","06/03/2012","28/02/2013",""
"Mizoram","Road & Bridges","Road formation and restoration works at  Lawngtlai Slided loctaion","NLCPR","18/02/2009","223.70","197.38","148.03","49.35","15/10/2012","28/02/2011","30/11/2011"
"Mizoram","Road & Bridges","Construction of 3 Bailey Bridges in Mizoram","NLCPR","26/09/2006","649.42","379.51","204.57","71.39","29/12/2011","30/09/2008",""
"Mizoram","Road & Bridges","Construction of Bridge over Tuichang on Keituam - Artahkawn road in Mizoram","NLCPR","30/04/2008","259.49","81.00","81.00","81.00","30/04/2008","30/04/2010",""
"Mizoram","Road & Bridges","Bridge over River Chawngte(P to C)(LAI&Chakma ADC)","NLCPR","07/01/2004","255.53","243.79","243.79","118.79","29/12/2004","31/01/2006","14/01/2008"
"Mizoram","Road & Bridges","Bridge over River Vanva on Haulawng-Bualpui-Chhiphir Road","NLCPR","07/01/2004","145.67","138.72","138.72","58.72","31/12/2004","31/01/2006","15/05/2007"
"Mizoram","Road & Bridges","Construction of Link Roads to Bamboo Plantation - Plot No. B from Dur Lui - Sairum and Dur Lui - Mualkhang","NLCPR","29/09/2003","616.62","616.62","616.62","116.62","17/03/2005","30/09/2006","29/03/2007"
"Mizoram","Road & Bridges","Construction of Link Road to Bamboo Plantation Areas from Saiphal to Hortoki (0-27.5km) in Mizoram","NLCPR","24/11/2006","1299.67","818.80","409.40","409.40","03/06/2011","31/12/2008",""
"Mizoram","Road & Bridges","Construction of Lawngtlai By-Pass Road, Phase-I (13 km) in Mizoram","NLCPR","27/11/2012","1143.85","411.79","0.00","411.79","27/11/2012","30/11/2014",""
"Mizoram","Road & Bridges","Construction of Sihpui to Thuampui Road in Mizoram","NLCPR","13/12/2010","248.23","175.22","87.61","87.61","19/12/2012","31/12/2012",""
"Mizoram","Road & Bridges","Construction of Khanpui to Tualbung road","NLCPR","04/07/2011","197.21","69.60","69.60","69.60","06/07/2011","30/06/2012",""
"Mizoram","Road & Bridges","Bridge over River Chawngtelui on Diltlang to Chawngte Road(LAI ADC)","NLCPR","07/01/2004","203.49","194.00","194.00","94.00","31/12/2004","31/01/2006","15/11/2006"
"Mizoram","Road & Bridges","Chawngte-Borapansury Road within Chakma Autonomous District Council","NLCPR","21/10/2003","1046.00","975.01","975.01","175.01","28/10/2005","31/10/2006","25/03/2010"
"Mizoram","Road & Bridges","Lungtian-Mamte Road via Vartek Kai within Lai ADC","NLCPR","21/10/2003","2665.00","2477.45","2477.45","533.45","06/03/2007","31/10/2006","31/03/2010"
"Mizoram","Road & Bridges","Construction of Bamboo Plantation Link Road to proposed Bamboo Plantation Areas from tuirial Airfield to Bukpui (0-40)","NLCPR","01/12/2006","2239.02","705.29","705.29","705.29","15/12/2006","31/12/2008",""
"Mizoram","Road & Bridges","Construction of Road from Ramthar 'N' to Ramhlum Sport Complex in Mizoram","NLCPR","23/12/2010","202.23","142.76","71.38","71.38","14/12/2012","31/12/2012",""
"Mizoram","Road & Bridges","Construction of Longpuighat – Kukurduleya Road","NLCPR","03/02/2009","1152.45","1016.87","689.38","327.49","12/12/2012","28/02/2010",""
"Mizoram","Road & Bridges","Upgradation of Parva-I to Simenasora Road","NLCPR","26/09/2007","1226.40","1082.11","755.81","326.29","16/03/2011","29/02/2008",""
"Mizoram","Road & Bridges","Improvement and widening of Bawngkawn to Durtland Road","NLCPR","21/03/2003","681.00","681.00","681.00","459.00","10/12/2003","29/05/2004","29/05/2004"
"Mizoram","Road & Bridges","Bridge over River Tuisih on Tuipang-Zwangling-Chheihhlu Road(Mara ADC)","NLCPR","07/01/2004","114.06","108.70","108.70","48.70","31/12/2004","31/01/2006","28/04/2007"
"Mizoram","Sports","State Sports Academy, Zobawk","NLCPR","02/08/2010","1751.24","630.45","0.00","630.45","02/08/2010","31/07/2012",""
"Mizoram","Sports","Construction of Indoor Stadium at Keitum in Mizoram","NLCPR","23/12/2010","173.75","102.55","62.55","40.00","26/11/2012","31/12/2012",""
"Mizoram","Sports","Construction of Aizawl Cricket Stadium at Sihhmui, Mizoram","NLCPR","21/12/2009","1128.16","995.43","796.34","199.09","12/09/2012","31/03/2011",""
"Mizoram","Sports","Construction of Indoor Stadium at Bungtlang in Mizoram","NLCPR","23/12/2010","173.75","62.55","62.55","62.55","27/12/2010","31/12/2012",""
"Mizoram","Sports","Construction of Indoor Stadium at Champhai","NLCPR","31/07/2006","1159.99","1013.58","1013.68","253.40","17/03/2011","01/01/2008",""
"Mizoram","Sports","Construction of Indoor Stadium at Aizawl","NLCPR","20/06/2007","1305.22","1140.48","1140.48","223.08","19/11/2010","30/06/2009",""
"Mizoram","Water Supply","Greater Champhai Water Supply Scheme.","NLCPR","23/03/2000","1371.00","1353.02","1353.02","163.02","23/01/2006","31/03/2005","30/06/2009"
"Mizoram","Water Supply","Bilkhwthlir Water Supply Scheme, Kolasib District in Mizoram","NLCPR","03/05/2011","780.47","550.98","275.49","275.49","05/09/2012","30/04/2013",""
"Mizoram","Water Supply","Tuipang Water Supply Scheme, Mara Autonomous District Council in Mizoram","NLCPR","24/12/2010","941.13","332.16","332.16","332.16","02/12/2010","30/11/2012",""
"Mizoram","Water Supply","Bairabi Water Supply Scheme in Mizoram","NLCPR","04/07/2011","490.37","346.14","173.07","173.07","06/09/2012","30/06/2013",""
"Mizoram","Water Supply","Greater Mamit Water Supply Scheme","NLCPR","13/10/2003","576.81","528.96","528.96","46.23","04/08/2005","31/10/2006","28/09/2007"
"Mizoram","Water Supply","Greater Hnahthial Water Supply Scheme in Mizoram","NLCPR","29/11/2010","825.60","291.39","291.39","291.39","02/12/2010","30/11/2013",""
"Mizoram","Water Supply","Greater Saitual Water Supply  Scheme in Mizoram","NLCPR","08/10/2010","2153.20","1519.80","759.90","759.90","19/11/2012","15/10/2013",""
