"S.No.","Area","Title","Project Investigator/Institute","Date of Sanction","Duration","Total Cost (In Rs.)"
940.0,"FOOD AND NUTRITION SECURITY","Mycotoxins control in Aquaculture and its products     by Combinational approach [BT/PR- 14482/FNS/20/460/2010]","Dr. M  Bhaskar
Sri Venkateswara University Tirupati, Andhra Pradesh-517502","10/02/2011","3 Years 0 Month",3858200.0
941.0,"FOOD AND NUTRITION SECURITY","Effect of fructo – oligosaccharide (FOS) coated probiotics on fetal immune Programming and other health benefits [BT/PR-14774/FNS/20/470/2010]","Dr. Kondal K Reddy
Sri Venkateswara Veterinary University Tirupati, Andhra Pradesh-517502","10/02/2011","3 Years 0 Month",6028000.0
942.0,"FOOD AND NUTRITION SECURITY","Probiotic for the restoration of intestinal permeability and reduction of intestinal inflammation in active ulcerative colitis: A Double Blind Randomized placebo controlled trial. [BT/PR-14971/FNS/20/507/2010]","Dr. Bikash  Medhi
Post Graduate Institute of Medical Education and Research Chandigarh, Chandigarh-160012","10/03/2011","3 Years 0 Month",2938400.0
943.0,"FOOD AND NUTRITION SECURITY","A phase II randomized trial on benefit of probiotic starch (amylase resistant) in reducing acute proctitis in patients undergoing pelvic radiation for carcinoma cervix. [BT/PR/14963/FNS/20/502/2010]","Dr. Balukrishna  S
Christian Medical College Vellore Association Vellore, Tamilnadu-632004","13/05/2011","2 Years 0 Month",5942000.0
944.0,"FOOD AND NUTRITION SECURITY","Development of a chip for studying Human Fecal  Microbiota Composition and activity and its application in patients with Inflammatory Bowel Disease [BT/PR14945/FNS/20/486/2010]","Dr. Ramakrishna  BS
Christian Medical College Vellore Association Vellore, Tamilnadu-632004","13/05/2011","3 Years 0 Month",5513600.0
945.0,"FOOD AND NUTRITION SECURITY","Synbiotics for prevention of necrotizing enterocolitis in India [BT/PR- 14946/FNS/20/487/2010]","Dr. Anil kuruvilla  Kurien
Christian Medical College Vellore Association Vellore, Tamilnadu-632004","13/05/2011","3 Years 0 Month",4976200.0
946.0,"FOOD AND NUTRITION SECURITY","Resistant starch enriched prebiotic supplement for inflammatory bowel disorders [BT/PR-14973/FNS/20/508/2010]","Dr. Smita Shrikant Nilegaonkar
Agharkar Research Institute Pune, Maharashtra-411004","14/03/2011","3 Years 0 Month",4170400.0
947.0,"FOOD AND NUTRITION SECURITY","Effect of probiotic supplementation on weight reduction and impact on micronutrient and immune status in obese subjects [BT/PR-14974/FNS/20/509/2010]","Dr. M Shiva Prakash
National Institute of Nutrition Hyderabad, Andhra Pradesh-500007","14/03/2011","3 Years 0 Month",2566000.0
948.0,"FOOD AND NUTRITION SECURITY","Association of Vitamin D and Calcium with     
Development of Breast Cancer- A Case Control Study [BT/PR5802/FNS/20/559/2012]","Dr. Umesh  Kapil
All India Institute Of Medical Sciences New Delhi, Delhi-110029","15/01/2013","3 Years 0 Month",3901092.0
949.0,"FOOD AND NUTRITION SECURITY","Bioactive lipids for modulation of inflammation in rat model of arthritis [BT/PR6593/FNS/20/671/2012]","Dr. Lokesh R Belur
Central Food Tech.Research Institute, Mysore Mysore, Karnataka-570020","15/01/2013","3 Years 0 Month",4074400.0
950.0,"FOOD AND NUTRITION SECURITY","Studies on the role of rice bran oil and its nutraceutical concentrates in diabetic kidney lipotoxicity in experimental animals [BT/PR5814/FNS/20/562/2012]","Dr. Suresh Kumar  Gurusiddaiah
Central Food Tech.Research Institute, Mysore Mysore, Karnataka-570020","15/01/2013","3 Years 0 Month",2100000.0
951.0,"FOOD AND NUTRITION SECURITY","INVESTIGATIONS ON LESS KNOWN SELECTED LEAFY VEGETABLES FOR POTENTIALS BIOACTIVE MOLECULES AND DEVELOPMENT OF IN VITRO PROPAGATION FOR ELITE PLANTS [BT/PR1238/FNS/20/524/2011]","Dr. Parvatam  Giridhar
Central Food Tech.Research Institute, Mysore Mysore, Karnataka-570020","16/02/2012","3 Years 0 Month",2881000.0
952.0,"FOOD AND NUTRITION SECURITY","PROTEASE IMMOBILIZED ACTIVE FOOD PACKAGING SYSTEM FOR COTTAGE CHEESE [BT/PR2291/FNS/20/526/2011]","Dr. Mukesh  Doble
INDIAN INSTITUTE OF TECHNOLOGY, MADRAS Chennai, Tamilnadu-600036","16/02/2012","3 Years 0 Month",2735900.0
953.0,"FOOD AND NUTRITION SECURITY","Small intestinal and whole gut metagenome in   patients with celiac disease, their first degree relatives and controls [BT/PR-14956/FNS/20/497/2010]","Dr. GOVIND K K MAKHARIA
All India Institute Of Medical Sciences New Delhi, Delhi-110029","16/03/2011","2 Years 0 Month",5027600.0
954.0,"FOOD AND NUTRITION SECURITY","Effect of probiotic and Zinc supplementation on systemic immune response to oral Rotavirus and oral polio Virus Vaccination [BT/PR-14943/FNS/20/484/2010]","Dr. Gagandeep  Kang
Christian Medical College Vellore Association Vellore, Tamilnadu-632004","16/05/2011","3 Years 0 Month",6220200.0
955.0,"FOOD AND NUTRITION SECURITY","Effect of probiotics on carriage of extended spectrum beta lactamase producing enterobacteriaceae in neonatal gut: A randomized controlled trial at a tertiary care neonatal intensive care unit [BT/PR/14944/FNS/20/485/2010]","Dr. Arun Kumarendu  Singh
INSTITUTE OF POSTGRADUATE MEDICAL EDUCATION AND RESEARCH, KOLKATA Kolkata, West Bengal-700020","16/05/2011","3 Years 0 Month",3863700.0
956.0,"FOOD AND NUTRITION SECURITY","Study of Lactobacillus-host interaction using an epithelial-lymphoid co culture system [BT/PR-14954/FNS/20/496/2010]","Dr. Tamishraha  Bagchi
M. S. University of Baroda Vadodara, Gujarat-390001","16/05/2011","3 Years 0 Month",4833400.0
957.0,"FOOD AND NUTRITION SECURITY","Immobilisation of probiotic microorganisms on food matrices and their efficacy in the preparation of fermented dairy products [BT/PR/14825/FNS/20/477/2010]","Dr. REMA  SUBHASH
Sardar Patel University Vallabh Vidhyanagar, Gujarat-388120","16/05/2011","3 Years 0 Month",1137200.0
958.0,"FOOD AND NUTRITION SECURITY","Vitamin B12: its bioavailability and effect in a balanced protein supplement on sulfur amino acid and methyl transfer kinetics in Indian pregnancy. [BT/PR14160/FNS/20/447/2010]","Dr. Aruna V Kurpad
St. John's Research Institute Bangalore, Karnataka-560034","17/09/2010","3 Years 0 Month",7772800.0
959.0,"FOOD AND NUTRITION SECURITY","Metagenomic and clinical investigation of synbiotic fermented dairy product containing probiotic Lactobacillus helveticus MTCC 5463 in geriatric Volunteers [BT/PR14950/FNS/20/490/2010]","Dr. J B  Prajapati
Anand Agricultural University Anand, Gujarat-388110","18/07/2011","3 Years 0 Month",4893800.0
960.0,"FOOD AND NUTRITION SECURITY","Diversity and Genetic relatedness of Lactic acid bacteria in fermented vegetables of North-East India [BT/PR15036/FNS/20/515/2011]","Dr. Prakash M Halami
Central Food Tech.Research Institute, Mysore Mysore, Karnataka-570020","18/07/2011","3 Years 0 Month",2901000.0
961.0,"FOOD AND NUTRITION SECURITY","High Value Low volume Biocatalytically prepared chiral synthons: Studies on the enzymes involved in the production of L-carnitine intermediate [BT/PR15140/FNS/20/516/2011]","Dr. Anju  Chadha
INDIAN INSTITUTE OF TECHNOLOGY, MADRAS Chennai, Tamilnadu-600036","18/07/2011","3 Years 0 Month",4505000.0
962.0,"FOOD AND NUTRITION SECURITY","Acceptability of Fructoologosaccharide incorporated Food items, Effect of Supplementing FOS on Gut Mocroflora and on Direct/Indirect determinants of obese adult of urban vadodara [BT/PR-14916/FNS/20/479/2010]","Dr. MINI  SHETH
M.S. University of Baroda Baroda, Gujarat-390002","18/07/2011","3 Years 0 Month",2636900.0
963.0,"FOOD AND NUTRITION SECURITY","Formulation and Pilot Scale Unit for Production of Therapeutic Food in Ready-to-Eat Form (TF-RTE) for Management of SAM Children [BT/PR4204/FNS/20/534/2011]","Prof. Hari Niwas Mishra
INDIAN INSTITUTE OF TECHNOLOGY, KHARAGPUR Kharagpur, West Bengal-721302","20/03/2012","2 Years 0 Month",18865200.0
964.0,"FOOD AND NUTRITION SECURITY","Effects of vitamin D supplementation in infancy on bone and lean mass, growth and function in childhood [BT/PR4490/FNS/20/541/2012]","Dr. Geeta Trilok Kumar
Institute of Home Economics New Delhi, Delhi-110016","20/03/2012","2 Years 0 Month",7485869.0
965.0,"FOOD AND NUTRITION SECURITY","Studies on the effects of Obesity and Obesity induced type-2 Diabetes on advanced aging phenomenon [BT/PR3404/FNS/20/529/2011]","Dr. A  Uma
Jawaharlal Nehru Technological University Hyderabad, Andhra Pradesh-500085","20/03/2012","3 Years 0 Month",5696000.0
966.0,"FOOD AND NUTRITION SECURITY","Undiluted animal milk with added sugar and micronutrients versus WHO feeding protocol for management of severe acute malnutrition in non-breastfed infants aged 2-6 months of age: a randomized controlled trial [BT/PR4597/FNS/20/542/2012]","Dr. Satinder  Aneja
Lady Hardinge Medical College New Delhi, Delhi-110001","20/03/2012","2 Years 6 Month",11684508.0
967.0,"FOOD AND NUTRITION SECURITY","Use of the accurate tracer based approaches to assess vitamin A pool size in Indian children receiving vitamin A supplementation, and assess the efficacy of food based supplementation approaches in pregnant women [BT/PR4468/FNS/20/537/2011]","Dr. Anil  Vasudevan
St. John's Medical College And Hospital Bangalore, Karnataka-560034","20/03/2012","3 Years 0 Month",6973400.0
968.0,"FOOD AND NUTRITION SECURITY","Relationship of birth size, infant and childhood growth on telomere length  in adulthood. [BT/PR5317/FNS/20/552/2012]","Dr. Lakshmy  Ramakrishnan
All India Institute Of Medical Sciences New Delhi, Delhi-110029","21/08/2012","2 Years 6 Month",6994110.0
969.0,"FOOD AND NUTRITION SECURITY","Dietary phytate-mineral interactions Role in suppressing colon cancer [BT/PR3391/FNS/20/528/2011]","Dr. VIJAYA LAKSHMI BODIGA
Krishna University Machilipatnam, Andhra Pradesh-521001","22/02/2012","3 Years 0 Month",6956000.0
970.0,"FOOD AND NUTRITION SECURITY","Development of Technology and Prototype Facility for Enhancement of Shelf Life of Fruits and Vegetables through Active Packaging & Modified Atmosphere Storage [BT/PR7314/FNS/20/719/2012]","Prof. Hari Niwas Mishra
INDIAN INSTITUTE OF TECHNOLOGY, KHARAGPUR Kharagpur, West Bengal-721302","22/02/2013","2 Years 0 Month",7841000.0
971.0,"FOOD AND NUTRITION SECURITY","Development of fermented functional food from papaya [BT/PR11099/FNS/20/388/2008]","Dr. Puja  Ravi Kumar
Vittal Mallya Scientific Research Foundation Bangalore, Karnataka-560076","22/03/2010","3 Years 0 Month",3468500.0
972.0,"FOOD AND NUTRITION SECURITY","Development of Fermented Functional Food from Papaya. [BT/PR11099/FNS/20/388/2008]","Dr. Puja  Ravikumar
Vittal Mallya Scientific Research Foundation Bangalore, Karnataka-560076","22/03/2010","3 Years 0 Month",3468500.0
973.0,"FOOD AND NUTRITION SECURITY","To monitor and conduct quality assurance of research projects forvalidation of diagnostic criteria and development of food regimens to medically rehabilitate children suffering from uncomplicated severe acute malnutrition [BT/PR4787/FNS/20/543/2012]","Dr. Harmeet Kaur Sidhu
Translational Health Science And Technology Institute Gurgaon, Haryana-122016","22/03/2012","3 Years 0 Month",9438880.0
974.0,"FOOD AND NUTRITION SECURITY","Obesity and metabolic syndrome: The role of nutrition, physical activity, and inflammation. [BT/PR6120/FNS/20/628/2012]","Prof. Randeep  Guleria
All India Institute Of Medical Sciences New Delhi, Delhi-110029","23/01/2013","3 Years 0 Month",8184424.0
975.0,"FOOD AND NUTRITION SECURITY","Medical Management of Children Suffering from Severe acute Malnutrition [BT/PR4215/FNS/20/540/2012]","Dr. C B Benjwal
Bharat Immunologicals and Biologicals Corporation Limited Bulandshahr, Uttar Pradesh-203203","24/04/2012","2 Years 0 Month",23980000.0
976.0,"FOOD AND NUTRITION SECURITY","Cluster randomised controlled trial of home based modified existent practices vs home based Ready to Use Therapeutic Food (RUTF) for management of uncomplicated Severe Acute Malnutrition in Indian urban slum children aged 6 to 72 months [BT/PR5065/FNS/20/547/2012]","Prof. leena ajay dhande
Indira Gandhi Government Medical College, Nagpur Nagpur, Maharashtra-440018","24/04/2012","3 Years 0 Month",17920512.0
977.0,"FOOD AND NUTRITION SECURITY","Maternal micronutrient status, inflammatory markers and Risk for non-communicable diseases in the offspring in a preeclamptic rat model [BT/PR6472/FNS/20/656/2012]","Dr. Sadhana  Joshi
Interactive Research School for Health Affairs Pune, Maharashtra-411043","25/02/2013","3 Years 0 Month",3762600.0
978.0,"FOOD AND NUTRITION SECURITY","ASSESSMENT OF DIETARY AGEs (dAGEs) AND MECHANISTIC STUDIES TO EVALUATE THE EFFECT OF dAGEs ON INFLAMMATORY MARKERS IN SUBJECTS AT RISK FOR TYPE 2 DIABETES [BT/PR6345/FNS/20/601/2012]","Dr. V  Mohan
Madras Diabetes Research Foundation Chennai, Tamilnadu-600086","25/02/2013","3 Years 0 Month",5048800.0
979.0,"FOOD AND NUTRITION SECURITY","Effect of raw carrot juice on the development of non-alcoholic fatty liver disease (NAFLD) and adipose tissue inflammation; a contributory factor of disease progression [BT/PR6145/FNS/20/566/2012]","Dr. S M  Jeyakumar
National Institute of Nutrition Hyderabad, Andhra Pradesh-500007","25/02/2013","3 Years 0 Month",4555300.0
980.0,"FOOD AND NUTRITION SECURITY","Modulation of adipose tissue inflammation by dietary n-3 polyunsaturated fatty acids: Potential role in metabolic syndrome [BT/PR6181/FNS/20/568/2012]","Dr. Ahamed  Ibrahim
National Institute of Nutrition Hyderabad, Andhra Pradesh-500007","25/02/2013","3 Years 0 Month",4516800.0
981.0,"FOOD AND NUTRITION SECURITY","The effect of dietary clarified butter oil (ghee) on inflammation and insulin sensitivity in diet induced insulin resistant and diabetic murine models. [BT/PR6197/FNS/20/632/2012]","Dr. Saravanan  Natarajan
National Institute of Nutrition Hyderabad, Andhra Pradesh-500007","25/02/2013","3 Years 0 Month",4002800.0
982.0,"FOOD AND NUTRITION SECURITY","Catus (Opuntia ficus-indica) Chemistry and Food Applications. [BT/PR13222/FNS/20/419/2009]","Dr. Rajarathnam  S
Central Food Tech.Research Institute, Mysore Mysore, Karnataka-570020","25/08/2010","3 Years 0 Month",4245600.0
983.0,"FOOD AND NUTRITION SECURITY","Developing and Evalution of multiple micronutrient (mineral and vitamins) fortified milk for consumer market. [BT/PR13363/FNS/20/426/2009]","Dr. Sumit  Arora
National Dairy Research Institute Karnal, Haryana-132001","25/08/2010","3 Years 0 Month",4259200.0
984.0,"FOOD AND NUTRITION SECURITY","Role of Toll-Like and NOD receptors in probiotics-induced mucosal toleregenicity [BT/PR-14952/FNS/20/492/2010]","Dr. Santasabuj  Das
National Institute of Cholera And Enteric Diseases Kolkata, West Bengal-700010","26/05/2011","3 Years 0 Month",5184800.0
985.0,"FOOD AND NUTRITION SECURITY","Stability of Phytochemicals during Processing and Storage of Perishable Temperate Fruits [BT/PR7338/FNS/20/721/2012]","Mr. Sajad Mohd Wani
University of Kashmir Srinagar, Jammu And Kashmir-190006","28/02/2013","3 Years 0 Month",4723000.0
986.0,"FOOD AND NUTRITION SECURITY","Detoxification of mustard seed based product through fermentation process based on north east traditional practices and their value addition [BT/PR5324/FNS/20/551/2012]","Dr. Tarun Chandra Bora
North East Institute of Science And Technology Jorhat, Assam-785006","28/08/2012","3 Years 0 Month",2313000.0
987.0,"FOOD AND NUTRITION SECURITY","Analysis of human gastrointestinal microbial diversity by molecular methods and applications of metagenomics for isolation of novel bacteriocins [BT/PR-14977/FNS/20/512/2010]","Dr. Banwari  Lal
The Energy And Resources Institute, New Delhi New Delhi, Delhi-110003","29/08/2011","3 Years 0 Month",10258200.0
988.0,"FOOD AND NUTRITION SECURITY","Iodine status of pregnant mothers, school age children and neonatal thyroid stimulating hormone concentration in three   regions of Himachal Pradesh, India [BT/PR15435/FNS/20/521/2011]","Dr. Umesh  Kapil
All India Institute Of Medical Sciences New Delhi, Delhi-110029","30/08/2011","2 Years 0 Month",6166600.0
989.0,"FOOD AND NUTRITION SECURITY","Isolation and characterization of food derived iron binding peptides and their effect on iron bioavailability: A proteomic approach [BT/PR5228/FNS/20/549/2012]","Dr. Raghu  Pullakhandam
National Institute of Nutrition Hyderabad, Andhra Pradesh-500007","30/08/2012","3 Years 0 Month",3232800.0
990.0,"FOOD AND NUTRITION SECURITY","urther investigations into “Nutrient Mediated Teratogenesis” : Role of 1-C metabolism, vitamin B12 and folate in fetal programming of diabetes and cardiovascular disease [BT/PR-14163/FNS/20/449/2010]","Dr. Chitaranjan S Yagnik
KEM Hospital Research Centre, Pune Pune, Maharashtra-411011","31/08/2010","3 Years 0 Month",9895100.0
991.0,"INDO AUSTRALIA","Novel marine-derived lipases and processing methods for the production of omega-3 concentrates for functional foods, pharmaceuticals and nutraceuticals [BT/Indo-Aus/05/18/2010]","Dr. N Madhusudhana Rao
Centre For Cellular And Molecular Biology Hyderabad, Andhra Pradesh-500007","05/07/2011","3 Years 0 Month",6701040.0
992.0,"INDO AUSTRALIA","Engineering novel disease resistance in wheat and rice by silencing disease susceptibility genes [BT/Indo-Aus/04/36/2009]","Dr. k K  Kumar
Centre For Plant Molecular Biology Coimbatore, Tamilnadu-641101","09/07/2010","3 Years 0 Month",10063036.0
993.0,"INDO AUSTRALIA","Extraction and purification of sorghum seed protein for delayed delivery of bioactivities [BT/Indo-Aus/04/35/2009]","Dr. Sandeep  Kale
Institute of Chemical Technology (Formerley UDCT) Mumbai, Maharashtra-400019","15/06/2010","3 Years 0 Month",10136024.0
994.0,"INDO AUSTRALIA","Molecular recognition between alkane hydroxylase and rubredoxin in alkane-degrading bacteria [BT/Indo-Aus/04/02/2009]","Prof. Shyamalava  Mazumdar
Tata Institute Of Fundamental Research Mumbai, Maharashtra-400005","15/07/2010","3 Years 0 Month",5084024.0
